Language,SceneCode,Type,Name,Origin,Russian
English,scene_evt131201_cp1_q1_s10,synopsis,,"[Игрок] and company find a notice advertising a free-to-play card game. The moment they learn of the 100,000 rupie grand prize, they quickly make way for the bar to partake in the game.",
English,scene_evt131201_cp1_q1_s10,detail,,"[Игрок] and the crew are among the crowd, enjoying all the fun of the festival.","Игрок и экипаж находятся среди толпы, наслаждаясь всем весельем фестиваля."
English,scene_evt131201_cp1_q1_s10,detail,,"They happen upon Sierokarte's Knickknack Shack, where business seems to be booming.",
English,scene_evt131201_cp1_q1_s10,detail,Sierokarte,"Welcome, everyone who's come to enjoy this wonderful event! Yes, it's the Festival of Falling Flame at last!",
English,scene_evt131201_cp1_q1_s10,detail,Sierokarte,"Just for this special day of the year, we have some exclusive wares on offer here at the Knickknack Shack!",
English,scene_evt131201_cp1_q1_s10,detail,Vyrn,"Hey, Siero! How's it going?",
English,scene_evt131201_cp1_q1_s10,detail,Sierokarte,"Hmm? Oh! If it isn't [Игрок] and the crew! Are you enjoying the festival?",
English,scene_evt131201_cp1_q1_s10,detail,Katalina,"Yes, but with so much going on, it's hard to decide what we want to see and do.",
English,scene_evt131201_cp1_q1_s10,detail,Sierokarte,"I know what you mean. There are so many different things from all corners of the skies here. It's really amazing!",
English,scene_evt131201_cp1_q1_s10,detail,Sierokarte,"I mean, just look at all the curios and delicacies... and then there's those exotic monsters from the circus of horrors!",
English,scene_evt131201_cp1_q1_s10,detail,Sierokarte,"Not to mention the main attraction this year—the duels being held on the Casino Liner!",
English,scene_evt131201_cp1_q1_s10,detail,Vyrn,"There weren't any festivals this massive back on Zinkenstill, were there, [Игрок]? Whoo, I'm so psyched!",
English,scene_evt131201_cp1_q1_s10,detail,Vyrn,"Huh?",
English,scene_evt131201_cp1_q1_s10,detail,Vyrn,"Hey, look over there!",
English,scene_evt131201_cp1_q1_s10,detail,,"Vyrn points at a notice on the bulletin board advertising a free-to-play card game.",
English,scene_evt131201_cp1_q1_s10,detail,Vyrn,"Whoa! 100,000 rupies for the winner?",
English,scene_evt131201_cp1_q1_s10,detail,Vyrn,"We should give it a shot!",
English,scene_evt131201_cp1_q1_s10,detail,Katalina,"<span class='scene-font-italic'>Free</span>? Impossible. There must be some sort of catch—",
English,scene_evt131201_cp1_q1_s10,detail,Lyria,"That's amazing! If we win, we can buy all kinds of new weapons, Katalina!",
English,scene_evt131201_cp1_q1_s10,detail,Vyrn,"All right, let's give it a go. Come on, [Игрок]!",
English,scene_evt131201_cp1_q1_s10,detail,,"And so the crew make their way toward the tavern in high spirits.",
