Language,SceneCode,Type,Name,Origin,Russian
English,scene_tutorial02,synopsis,,"Lyria reveals how she pried [Игрок] from the jaws of death by synchronizing their life forces after the young hero suffered a near-fatal wound at the claws of Captain Pommern's Hydra. [Игрок] and Lyria's souls are now permanently intertwined.",
English,scene_tutorial02,detail,Lyria,"Primeval dragon...",
English,scene_tutorial02,detail,Lyria,"Child of flames and darkness...",
English,scene_tutorial02,detail,Lyria,"Thy name is...",
English,scene_tutorial02,detail,Lyria,"Bahamut!",
English,scene_tutorial02,detail,Bahamut,"Roooar!",
English,scene_tutorial02,detail,Hydra,"Gwaarrgh...",
English,scene_tutorial02,detail,Pommern,"What? It can't be! How could my beloved Hydra be annihilated with a single attack!",
English,scene_tutorial02,detail,Pommern,"No! No, no, no! It can't be! I refuse to believe it!",
English,scene_tutorial02,detail,Vatass,"...",
English,scene_tutorial02,detail,Vyrn,"Hey! Now's our chance! Let's get outta here, [Игрок]!",
English,scene_tutorial02,detail,Katalina,"This way, [Игрок]! We have to get those wounds treated immediately!",
English,scene_tutorial02,detail,,"Thanks to Lyria's mysterious powers, [Игрок] was able to summon a primal beast and defeat the Hydra.",
English,scene_tutorial02,detail,,"The group takes advantage of the confusion to slip away. With Katalina acting as a guide, they escape the forest.",
English,scene_tutorial02,detail,Vyrn,"Huff... Huff... I think we managed to lose the beard-twirlin' doofus...",
English,scene_tutorial02,detail,Vyrn,"That primal beast... You said its name is Bahamut? You managed to awaken a primal?",
English,scene_tutorial02,detail,Vyrn,"I thought the Astrals were the only ones who could control them.",
English,scene_tutorial02,detail,Vyrn,"Besides, weren't the primals all wiped out hundreds of years ago during the War?",
English,scene_tutorial02,detail,Katalina,"Lyria's power makes it possible. She's the only one who can control them... besides the Astrals.",
English,scene_tutorial02,detail,Lyria,"...",
English,scene_tutorial02,detail,Katalina,"And it would appear that's not all she can do...",
English,scene_tutorial02,detail,,"The deep flesh wounds from the Hydra's claws have vanished from [Игрок].",
English,scene_tutorial02,detail,Katalina,"Are you okay? Any pain or discomfort?",
English,scene_tutorial02,sel1_txt,,I seem to be fine.,
English,scene_tutorial02,sel2_txt,,Nothing feels strange.,
English,scene_tutorial02,detail,Lyria,"Katalina... [Игрок] risked life and limb to save me...",
English,scene_tutorial02,detail,Lyria,"But as a result, [Игрок] suffered horribly. Seeing [Игрок]'s vital flame begin to flicker and weaken, I decided to link our beings...",
English,scene_tutorial02,detail,Lyria,"To repay [Игрок] in kind!",
English,scene_tutorial02,detail,Katalina,"What!",
English,scene_tutorial02,detail,Lyria,"That's right. From now on our souls are permanently intertwined...",
English,scene_tutorial02,detail,Lyria,"[Игрок] and I now share the same life force.",
English,scene_tutorial02,detail,Lyria,"I hope you're not mad... It was my only choice.",
English,scene_tutorial02,sel1_txt,,Thanks for saving me!,
English,scene_tutorial02,detail,Lyria,"...",
English,scene_tutorial02,detail,Lyria,"By the way, I didn't summon that primal just by myself.",
English,scene_tutorial02,detail,Lyria,"Bahamut seems to have appeared to protect you, [Игрок]... To lend you strength.",
English,scene_tutorial02,detail,Vyrn,"No way... That's incredible! I always knew [Игрок] was something special!",
English,scene_tutorial02,detail,Imperial Soldier,"Hey, I've found them! They're over here!",
English,scene_tutorial02,detail,Vyrn,"Rats... Didn't take long for his cronies to show up. Are you good to go, [Игрок]?",
English,scene_tutorial02,detail,Katalina,"You escaped the grim reaper once today. Don't overwork yourself. I'll back you up this time.",
English,scene_tutorial02,detail,Vyrn,"Are you sure? I mean, aren't you working for them?",
English,scene_tutorial02,detail,Katalina,"You heard the story, didn't you? I betrayed the Empire and helped Lyria escape.",
English,scene_tutorial02,detail,Katalina,"I'll save the rest for later.<br>Now get ready! They're here!",
