Language,SceneCode,Type,Name,Origin,Russian
English,scene_tutorial00,synopsis,,"Inspired by their father's letter, a young dreamer seeks the end of the sky. But on preparing to depart, a warship appears in the village along with a mysterious girl seeking aid.","Вдохновленный письмом отца, молодой мечтатель ищет конец неба. Но, готовясь к отъезду, в деревне появляется военный корабль вместе с таинственной девушкой, ищущей помощи."
English,scene_tutorial00,detail,,"In a world abandoned by the gods, a lone dragon remained.","В мире, покинутом богами, остался одинокий дракон."
English,scene_tutorial00,detail,,"Bahamut, ruler of creation through destruction, sought to refine the realm the gods left behind into a richer, more bountiful place.","Бахамут, правитель творения через разрушение, стремился превратить оставленное богами царство в более богатое и изобильное."
English,scene_tutorial00,detail,,But the arrival of invaders from beyond the sky—the Astrals—brought an end to his plans.,"Но появление пришельцев из-за неба - Астралов, положило конец его планам."
English,scene_tutorial00,detail,,The Astrals used creatures of terrible power known as primal beasts to bring the sky under their control. Long did the skies belong to the stars.,"Астралы использовали существ ужасной силы, известных как первобытные звери, чтобы взять небо под свой контроль. Долгое время небо принадлежало звездам."
English,scene_tutorial00,detail,,But the skydwellers bided their time and learned from their foes. Eventually they fought to take back the skies in a conflict that would come to be known as the War.,"Но воздухоплаватели выжидали и учились у своих врагов. В конце концов, они сражались, чтобы вернуть небеса в конфликте, который стал известен как Война."
English,scene_tutorial00,detail,,"And here we find the Sky Realm, now a world of fragmented lands floating in a sea of clouds.","И здесь мы находим Небесное царство, теперь мир фрагментированных земель, плывущих в море облаков."
English,scene_tutorial00,detail,,"A new tale is about to begin here, spanning the skies and the stars alike...","Скоро здесь начнется новая сказка, охватывающая небо и звезды..."
English,scene_tutorial00,detail,Vyrn,"Say, are you serious about leavin' the village?","Скажи, ты серьезно собираешься покинуть деревню?"
English,scene_tutorial00,detail,Vyrn,"Sure, your dad wrote about the end of the sky in his letter, but getting there might as well be impossible...","Конечно, твой отец писал о конце неба в своем письме, но попасть туда с таким же успехом было бы невозможно..."
English,scene_tutorial00,sel1_txt,,I know we can reach it!,"Я знаю, что мы сможем до него добраться!"
English,scene_tutorial00,sel2_txt,,I have a plan.,У меня есть план.
English,scene_tutorial00,detail,Vyrn,Oh! You mean with the Sky Map? The thingy the Astrals put together centuries ago?,"Ох! Ты имеешь в виду Карту неба? Штуку, которую Астралы собрали много веков назад?"
